!\EXCLAMATION-POINT	%Ekskl@"meIS@n%pOInt
"CLOSE-QUOTE	"kloUz"kwoUt
INTEGRATORS	"Int@%greItE`z, "In@%greItE`z
INTEGRELIN	%Int@"grEl@n, %In"tEgr@lIn
INTEGRITY	%In"tEgr@ti
INTEGUMENT	%In"tEgj@m@nt
INTEL	%In"tEl
INTEL'S	%In"tElz
INTELCO	%In"tElkoU
INTELCOM	%In"tElkA:m
INTELLECT	"Int@%lEkt, "In@%lEkt
INTELLECTS	"Int@%lEkts, "In@%lEkts, "Int@%lEks, "In@%lEks
INTELLECTUAL	%Int@"lEktSu:@l, %In@"lEktSu:@l
INTELLECTUALISM	%In%tEl@k"tSu:@%lIz@m, %I%nEl@k"tSu:@%lIz@m
INTELLECTUALLY	%Int@"lEktSu:@li, %Int@"lEktSu:li, %In@"lEktSu:@li, %In@"lEktSu:li
INTELLECTUALS	%Int@"lEktSu:@lz
INTELLICALL	%In"tElI%kOl
INTELLICORP	%In"tElI%kOrp
INTELLIGENCE	%In"tEl@dZ@ns
INTELLIGENT	%In"tEl@dZ@nt
INTELLIGENTLY	%In"tElIdZ@ntli
INTELLIGENTSIA	%In%tEl@"dZEntsi:@
INTELLIGIBLE	%In"tEl@dZ@b@l
INTELLIGIBLY	%In"tEl@dZ@bli
INTELOGIC	%Int@"lA:dZIk
INTELSAT	%In"tEls{t
INTEMPERATE	%In"tEmpE`@t
INTEND	%In"tEnd
INTENDED	%In"tEndId
INTENDING	%In"tEndIN
INTENDS	%In"tEndz
INTENSE	%In"tEns
INTENSELY	%In"tEnsli
INTENSIFICATION	%In%tEnsIf@"keIS@n
INTENSIFIED	%In"tEnsI%faId
INTENSIFIES	%In"tEnsI%faIz
INTENSIFY	%In"tEnsI%faI
INTENSIFYING	%In"tEnsI%faIIN
INTENSITIES	%In"tEnsIti:z
INTENSITY	%In"tEnsIti
INTENSIVE	%In"tEnsIv
INTENSIVELY	%In"tEnsIvli
INTENT	%In"tEnt
INTENTION	%In"tEntS@n
INTENTIONAL	%In"tEnS@n@l
INTENTIONALLY	%In"tEnS@n@li
INTENTIONED	%In"tEntS@nd
INTENTIONS	%In"tEntS@nz
INTENTLY	%In"tEntli
INTENTS	%In"tEnts
INTER	%In"tE`:
INTERACCIONES	%IntE`%{ksi:"oUnz
INTERACT	%IntE`"{kt, %InE`"{kt
INTERACTED	%IntE`"{kt@d, %InE`"{kt@d
INTERACTING	%IntE`"{ktIN, %InE`"{ktIN
INTERACTION	%IntE`"{kS@n, %InE`"{kS@n
INTERACTIONS	%IntE`"{kS@nz, %InE`"{kS@nz
INTERACTIVE	%IntE`"{ktIv, %InE`"{ktIv
INTERACTIVITY	%IntE`%{k"tIvIti, %InE`%{k"tIvIti
INTERACTS	%IntE`"{kts, %InE`"{kts
INTERAGENCY	%IntE`"eIdZ@nsi
INTERAMERICAN	%IntE`@"mEr@k@n
INTERAND	"IntE`@nd
INTERBANK	%IntE`"b{Nk
INTERBRED	%IntE`"brEd
INTERBREW	"In%tE`:%bru:, "IntE`%bru:
INTERBREW'S	"In%tE`:%bru:z, "IntE`%bru:z
INTERCABLE	%IntE`"keIb@l
INTERCAPITAL	%IntE`"k{p@t@l
INTERCARE	"IntE`%kEr
INTERCEDE	%IntE`"si:d
INTERCEDED	%IntE`"si:dId
INTERCEDING	%IntE`"si:dIN
INTERCELLULAR	%IntE`"sElj@lE`
INTERCEPT	%IntE`"sEpt, %InE`"sEpt
INTERCEPTED	%IntE`"sEpt@d, %IntE`"sEptId, %InE`"sEpt@d, %InE`"sEptId
INTERCEPTING	%IntE`"sEptIN, %InE`"sEptIN
INTERCEPTION	%IntE`"sEpS@n, %InE`"sEpS@n
INTERCEPTIONS	%IntE`"sEpS@nz, %InE`"sEpS@nz
INTERCEPTOR	%IntE`"sEptE`, %InE`"sEptE`
INTERCEPTORS	%IntE`"sEptE`z, %InE`"sEptE`z
INTERCEPTS	%IntE`"sEpts, %InE`"sEpts
INTERCESSION	%IntE`"sES@n, %InE`"sES@n
INTERCHANGE	%IntE`"tSeIndZ, %InE`"tSeIndZ
INTERCHANGEABLE	%IntE`"tSeIndZ@b@l, %InE`"tSeIndZ@b@l
INTERCHANGEABLY	%IntE`"tSeIndZ@bli, %InE`"tSeIndZ@bli
INTERCHANGES	"IntE`%tSeIndZIz, "InE`%tSeIndZIz
INTERCITY	"IntE`%sIti, "InE`%sIti
INTERCO	"IntE`%koU
INTERCO'S	"IntE`%koUz
INTERCOLLEGIATE	%IntE`k@"li:dZ@t
INTERCOM	"IntE`%kA:m
INTERCOMPANY	%IntE`"kVmp@ni
INTERCONNECT	%IntE`k@"nEkt
INTERCONNECTED	%IntE`k@"nEktId
INTERCONNECTION	%IntE`k@"nEkS@n
INTERCONNECTIONS	%IntE`k@"nEkS@nz
INTERCONTINENTAL	%IntE`%kA:nt@"nEnt@l
INTERCONTINENTALE	%IntE`kA:n"tIn@n%tA:l
INTERCORP	"IntE`%kOrp
INTERCORPORATION	%IntE`%kOrpE`"eIS@n
INTERCOURSE	"IntE`%kOrs, "InE`%kOrs
INTERCULTURAL	%IntE`"kVltSE`@l
INTERCURRENT	%IntE`"kE`:@nt
INTERDEALER	"IntE`%di:lE`
INTERDEPENDENCE	%IntE`d@"pEnd@ns
INTERDEPENDENT	%IntE`dI"pEnd@nt
INTERDICT	"IntE`%dIkt
INTERDICTED	"IntE`%dIktId
INTERDICTES	"IntE`%dIkts
INTERDICTING	%IntE`"dIktIN
INTERDICTION	%IntE`"dIkS@n
INTERDIGITAL	%IntE`"dIdZ@t@l
INTERDISCIPLINARY	%IntE`"dIs@pl@%nEri
INTERDYNE	"IntE`%daIn
INTEREST	"Int@%rEst
INTERESTED	"Int@%rEstId
INTERESTING	"Int@%rEstIN
INTERESTINGLY	"Int@%rEstINli
INTERESTRATE	"IntE`%streIt
INTERESTS	"Intr@sts, "IntrIsts, "IntE`@sts, "IntE`Ists
INTERFACE	"IntE`%feIs, "InE`%feIs
INTERFACES	"IntE`%feIsIz, "InE`%feIsIz
INTERFAITH	%IntE`"feIT
INTERFAX	"IntE`%f{ks
INTERFERE	%IntE`"fIr, %InE`"fIr
INTERFERED	%IntE`"fIrd, %InE`"fIrd
INTERFERENCE	%IntE`"fIr@ns, %InE`"fIr@ns
INTERFERES	%IntE`"fIrz, %InE`"fIrz
INTERFERING	%IntE`"fIrIN, %InE`"fIrIN
INTERFEROMETER	%IntE`fE`"A:m@tE`
INTERFERON	%IntE`"fErA:n, %IntE`"fIrA:n
INTERFERONS	%IntE`"fIrA:nz
INTERFIRST	%IntE`"fE`:st
INTERFLUG	"IntE`fl@g
INTERFUNDING	"IntE`%f@ndIN
INTERGENERATIONAL	%IntE`"dZEnE`"eIS@n@l
INTERGOVERNMENTAL	%IntE`%g@vE`n"mEnt@l
INTERGRAPH	"IntE`%gr{f
INTERGRAPH'S	"IntE`%gr{fs
INTERGROUP	%IntE`"gru:p
INTERGROUP'S	%IntE`"gru:ps
INTERIM	"IntE`@m, "Intr@m, "InE`@m
INTERIOR	%In"tIri:E`
INTERIORS	%In"tIri:E`z
INTERJECT	%IntE`"dZEkt
INTERJECTED	%IntE`"dZEktId
INTERJECTION	%IntE`"dZEkS@n
INTERJECTIONS	%IntE`"dZEkS@nz
INTERJECTS	%IntE`"dZEkts
INTERLACE	%IntE`"leIs
INTERLACED	%IntE`"leIst
INTERLAKE	"IntE`%leIk
INTERLAKE'S	"IntE`%leIks
INTERLEAF	"IntE`%li:f
INTERLEAVE	%IntE`"li:v
INTERLEAVED	%IntE`"li:vd
INTERLEAVES	%IntE`"li:vz
INTERLEAVING	%IntE`"li:vIN
INTERLEUKIN	%IntE`"lu:kIn
INTERLINK	%IntE`"lINk
INTERLINKED	%IntE`"lINkt
INTERLOCK	%IntE`"lA:k
INTERLOCKED	%IntE`"lA:kd
INTERLOCKING	"IntE`%lA:kIN
INTERLOCUTOR	%IntE`"lA:kj@tE`
INTERLOCUTORS	%IntE`"lA:kj@tE`z
INTERLOPER	"IntE`%loUpE`
INTERLOPERS	"IntE`%loUpE`z
INTERLUDE	"IntE`%lu:d
INTERLUDES	"IntE`%lu:dz
INTERMAGNETIC	%IntE`m{g"nEtIk
INTERMAGNETICS	%IntE`m{g"nEtIks
INTERMARK	%IntE`"mA:rk
INTERMARKET	%IntE`"mA:rkIt
INTERMARRIAGE	%IntE`"mErIdZ
INTERMARRIED	%IntE`"m{ri:d
INTERMARRY	%IntE`"m{ri
INTERMEC	"IntE`m@k
INTERMEDIA	%IntE`"mi:di:@
INTERMEDIARIES	%IntE`"mi:di:%Eri:z, %InE`"mi:di:%Eri:z
INTERMEDIARY	%InE`"mi:di:Eri, %IntE`"mi:di:Eri
INTERMEDIATE	%IntE`"mi:di:It, %InE`"mi:di:It
INTERMEDIATES	%IntE`"mi:di:@ts, %IntE`"mi:di:eIts, %InE`"mi:di:@ts, %InE`"mi:di:eIts
INTERMEDIC	"IntE`%mEdIk
INTERMEDICS	"IntE`%mEdIks
INTERMET	%IntE`"mEt
INTERMINABLE	%In"tE`:m@n@b@l
INTERMINABLY	"IntE`mI%n{bli, %In"tE`:mIn@bli
INTERMINGLE	%IntE`"mINg@l
INTERMINGLED	%IntE`"mINg@ld
INTERMINGLING	%IntE`"mINg@lIN, %IntE`"mINglIN
INTERMISSION	%IntE`"mIS@n
INTERMISSIONS	%IntE`"mIS@nz
INTERMITTENT	%IntE`"mIt@nt
INTERMITTENTLY	%IntE`"mIt@ntli
INTERMIX	%IntE`"mIks
INTERMIXED	%IntE`"mIkst
INTERMIXING	"IntE`"mIksIN
INTERMODAL	%IntE`"moUd@l
INTERMOLECULAR	%IntE`m@"lEkj@lE`
INTERMOUNTAIN	%IntE`"maUntIn
INTERN	"IntE`n
INTERNACIONAL	%IntE`"n{S@%nA:l, %IntE`%nA:sjoU"nA:l
INTERNAL	%In"tE`:n@l
INTERNALIZE	%In"tE`:n@%laIz
INTERNALIZED	%In"tE`:n@%laIzd
INTERNALLY	%In"tE`:n@li
INTERNATIONAL	%IntE`"n{S@nA:l, %InE`"n{S@nA:l
INTERNATIONAL'S	%IntE`"n{S@nA:lz, %InE`"n{S@nA:lz
INTERNATIONALE	%IntE`%n{S@"nA:l, %InE`%n{S@"nA:li
INTERNATIONALISM	%IntE`"n{S@nA:%lIz@m, %InE`"n{S@nA:%lIz@m
INTERNATIONALIST	%IntE`"n{S@n@lIst, %InE`"n{S@n@lIst
INTERNATIONALISTS	%IntE`"n{S@nA:lIsts
INTERNATIONALIZATION	%IntE`%n{S@nA:lI"zeIS@n, %InE`%n{S@nA:lI"zeIS@n
INTERNATIONALIZE	%IntE`"n{S@n@%laIz, %InE`"n{S@"nA:%laIz, %InE`"n{SnA:%laIz
INTERNATIONALIZED	%IntE`"n{S@nA:laIzd, %InE`"n{S@nA:laIzd, %InE`"n{SnA:laIzd
INTERNATIONALLY	%IntE`"n{S@nA:li, %IntE`"n{SnA:li, %InE`"n{S@nA:li, %InE`"n{SnA:li
INTERNATIONALS	%IntE`"n{S@n@lz
INTERNATONAL	%IntE`"n{S@n@l, %InE`"n{S@n@l
INTERNECINE	%In"tE`:n@%si:n
INTERNED	"In%tE`:nd
INTERNEE	%IntE`"ni:
INTERNEES	%IntE`"ni:z
INTERNET	"IntE`%nEt
INTERNET'S	"IntE`%nEts
INTERNIST	%In"tE`:nIst
INTERNISTS	%In"tE`:nIsts
INTERNMENT	%In"tE`:nm@nt
INTERNORTH	"IntE`nOrT
INTERNS	"IntE`nz
INTERNSHIP	"IntE`n%SIp
INTERNSHIPS	"IntE`n%SIps
INTEROFFICE	%IntE`"Of@s
INTEROPERATE	%IntE`"OpE`@t
INTEROPERATES	%IntE`"OpE`@ts
INTERPART	"IntE`%pA:rt
INTERPERSONAL	%IntE`"pE`:s@n@l
INTERPLANETARY	%IntE`"pl{n@%tEri
INTERPLAY	"IntE`%pleI
INTERPOL	"IntE`%poUl
INTERPOLATE	%I"tE`:p@%leIt
INTERPOLATED	%I"tE`:p@%leItId
INTERPOSE	%IntE`"poUz
INTERPRET	%In"tE`:pr@t
INTERPRETATION	%In%tE`:prI"teIS@n
INTERPRETATIONS	%In%tE`:prI"teIS@nz
INTERPRETED	%In"tE`:pr@t@d
INTERPRETER	%In"tE`:pr@tE`
INTERPRETERS	%In"tE`:pr@tE`z
INTERPRETING	"IntE`%prEtIN
INTERPRETIVE	%In"tE`:pr@tIv
INTERPRETS	%In"tE`:pr@ts
INTERPROVINCIAL	%IntE`proU"vInS@l
INTERPUBLIC	%IntE`"pVblIk
INTERPUBLIC'S	%IntE`"pVblIks
INTERRACIAL	%IntE`"reIS@l
INTERRANTE	%IntE`"rA:nti
INTERRED	%In"tE`:d
INTERREGNUM	%IntE`"rEgn@m
INTERRELATE	%IntE`rI"leIt
INTERRELATED	%IntE`rI"leItId
INTERRELATIONSHIP	"IntE`ri:"leIS@nSIp
INTERRENT	"IntE`%Ent
INTERROGATE	%In"tEr@%geIt
INTERROGATED	%In"tEr@%geItId
INTERROGATING	%In"tEr@%geItIN
INTERROGATION	%In%tEr@"geIS@n
INTERROGATIONS	%In%tEr@"geIS@nz
INTERROGATOR	%In"tEr@%geItE`
INTERROGATORIES	%IntE"rA:g@%tOri:z
INTERROGATORS	%In"tEr@%geItE`z
INTERROGATORY	%IntE"rA:g@%tOri
INTERRUPT	%IntE`"Vpt
INTERRUPTED	%IntE`"VptId
INTERRUPTIBLE	%IntE`"rVptIb@l
INTERRUPTING	%IntE`"VptIN
INTERRUPTION	%IntE`"VpS@n
INTERRUPTIONS	%IntE`"VpS@nz
INTERRUPTS	%IntE`"Vpts
INTERSCHOLASTIC	%IntE`sk@"l{stIk
INTERSCOPE	"IntE`%skoUp
INTERSEC	"IntE`sEk
INTERSECT	%IntE`"sEkt
INTERSECTED	%IntE`"sEktId
INTERSECTING	%IntE`"sEktIN
INTERSECTION	%IntE`"sEkS@n
INTERSECTIONS	%IntE`"sEkS@nz
INTERSECTS	%IntE`"sEkts
INTERSEGMENT	%IntE`"sEgm@nt
INTERSPEC	"IntE`spEk
INTERSPERSE	%IntE`"spE`:s
INTERSPERSED	%IntE`"spE`:st
INTERSPERSES	%IntE`"spE`:s@z
INTERSTATE	%IntE`"steIt
INTERSTATE'S	%IntE`"steIts
INTERSTATES	"IntE`%steIts
INTERSTELLAR	%IntE`"stElE`
INTERTAN	%IntE`"t{n
INTERTECH	"IntE`%tEk
INTERTECHNOLOGY	%IntE`t@k"nA:l@dZi
INTERTECT	"IntE`%tEkt
INTERTIDAL	%IntE`"taId@l
INTERTRANS	"IntE`%tr{nz
INTERTRIBAL	%IntE`"traIb@l
INTERTWINE	%IntE`"twaIn
INTERTWINED	%IntE`"twaInd
INTERTWINING	"IntE`%twaInIN
INTERURBAN	%IntE`"E`:b@n
INTERVAL	"IntE`v@l
INTERVALS	"IntE`v@lz
INTERVENE	%IntE`"vi:n
INTERVENED	%IntE`"vi:nd
INTERVENES	%IntE`"vi:nz
INTERVENING	%IntE`"vi:nIN
INTERVENOR	%IntE`"vi:nE`
INTERVENORS	%IntE`"vi:nE`z
INTERVENTION	%IntE`"vEnS@n
INTERVENTIONISM	%IntE`"vEnS@%nIz@m
INTERVENTIONIST	%IntE`"vEnS@nIst
INTERVENTIONISTS	%IntE`"vEnS@nIsts
INTERVENTIONS	%IntE`"vEnS@nz
INTERVIEW	"IntE`v%ju:
INTERVIEWED	"IntE`v%ju:d
INTERVIEWEE	%IntE`vju:"i:
INTERVIEWEES	%IntE`vju:"i:z
INTERVIEWER	"IntE`v%ju:E`
INTERVIEWERS	"IntE`v%ju:E`z
INTERVIEWING	"IntE`v%ju:IN
INTERVIEWS	"IntE`v%ju:z
INTERVOICE	%IntE`"vOIs
INTERWEAVE	%IntE`"wi:v
INTERWEAVING	%IntE`"wi:vIN
INTERWOVEN	%IntE`"woUv@n
INTESTINAL	%In"tEstIn@l
INTESTINE	%In"tEst@n, %In"tE%staIn
INTESTINES	%In"tEst@nz
INTEX	"In%tEks
INTI	"Inti
INTIFADA	%IntI"fA:d@
INTIMACY	"Int@m@si
INTIMATE	"Int@m@t, "IntI%meIt, "InIm@t
INTIMATED	"IntI%meItId
INTIMATELY	"IntIm@tli
INTIMATES	"IntIm@ts
INTIMATION	%IntI"meIS@n
INTIMATIONS	%IntI"meIS@nz
INTIMIDATE	%In"tImI%deIt
INTIMIDATED	%In"tImI%deItId
INTIMIDATES	%In"tImI%deIts
INTIMIDATING	%In"tImI%deItIN
INTIMIDATION	%In%tImI"deIS@n
INTIS	"IntIs
INTO	"Intu:, In"tu:, Int@
INTOLERABLE	%In"tA:lE`@b@l
INTOLERABLY	%In"tA:lE`@bli
INTOLERANCE	%In"tA:lE`@ns
INTOLERANT	%In"tA:lE`@nt
INTONATION	%Int@"neIS@n
INTONATIONS	%Int@"neIS@nz
INTONE	%In"toUn
INTONED	%In"toUnd
INTONES	%In"toUnz
INTONING	%In"toUnIN
INTOURIST	%In"tUrIst
INTOXICATE	%In"tA:ks@%keIt
INTOXICATED	%In"tA:ks@%keIt@d, %In"tA:ksI%keItId
INTOXICATES	%In"tA:ks@%keIts
INTOXICATING	%In"tA:ksI%keItIN
INTOXICATION	%In%tA:ks@"keIS@n
INTRA	"Intr@
INTRACOMPANY	%Intr@"kA:mp@ni
INTRACRANIAL	%Intr@"kreIni:@l
INTRACTABLE	%In"tr{kt@b@l
INTRADAY	%Intr@"deI
INTRAMARGINAL	%Intr@"mA:rdZIn@l
INTRAMURAL	%Intr@"mjUr@l
INTRANSIGENCE	%In"tr{ns@dZ@ns, %In"tr{nsIdZ@ns
INTRANSIGENT	%In"tr{ns@dZ@nt, %In"tr{nz@dZ@nt
INTRAOCULAR	%Intr@"oUkju:lE`
INTRAPARTY	"Intr@%pA:rti
INTRASPECIFIC	%Intr@sp@"sIf@k
INTRASTATE	%Intr@"steIt
INTRAUTERINE	%Intr@"ju:tE`In
INTRAVENOUS	%Intr@"vi:n@s
INTRAVENOUSLY	%In"tr{v@n@sli, %Intr@"vi:n@sli
INTRAWEST	"Intr@w@st, %Intr@"wEst
INTREPID	%In"trEp@d
INTREPIDLY	%In"trEp@dli
INTREX	"Intr@ks
INTRICACIES	"Intr@k@si:z
INTRICACY	"Intr@k@si
INTRICATE	"Intr@k@t
INTRICATELY	"Intr@k@tli
INTRIE	"Intri
INTRIERI	%In"trIri
INTRIGUE	%In"tri:g, "Intri:g
INTRIGUED	"Intri:gd, %In"tri:gd
INTRIGUES	%In"tri:gz, "Intri:gz
INTRIGUING	%In"tri:gIN
INTRIGUINGLY	%In"tri:gINli
INTRINSIC	%In"trInsIk
INTRINSICALLY	%In"trInsIk@li, %In"trInsIkli
INTRO	"IntroU
INTRODUCE	%Intr@"du:s, %IntroU"du:s
INTRODUCED	%Intr@"du:st, %IntroU"du:st
INTRODUCES	%Intr@"du:sIz, %IntroU"du:sIz
INTRODUCING	%Intr@"du:sIN, %IntroU"du:sIN
INTRODUCTION	%Intr@"dVkS@n, %IntroU"dVkS@n
INTRODUCTIONS	%Intr@"dVkS@nz, %IntroU"dVkS@nz
INTRODUCTORY	%Intr@"dVktE`i, %IntroU"dVktE`i
INTRON	"Intr@n
INTROS	"IntroUz
INTROSPECT	"Intr@%spEkt
INTROSPECTION	%Intr@"spEkS@n, %IntroU"spEkS@n
INTROSPECTIVE	%Intr@"spEktIv, %IntroU"spEktIv
INTROVERT	"IntroU%vE`:t
INTROVERTED	"IntroU%vE`:tId
INTRUDE	%In"tru:d
INTRUDED	%In"tru:d@d
INTRUDER	%In"tru:dE`
INTRUDERS	%In"tru:dE`z
INTRUDES	%In"tru:dz
INTRUDING	%In"tru:dIN
INTRUSION	%In"tru:Z@n
INTRUSIONS	%In"tru:Z@nz
INTRUSIVE	%In"tru:sIv
INTRUSIVENESS	%In"tru:sIvnEs
INTUIT	%In"tu:@t
INTUIT'S	%In"tu:@ts
INTUITION	%Intu:"IS@n
INTUITIVE	%In"tu:@tIv
INTUITIVELY	%In"tu:ItIvli
INUIT	"Inu:t
INUNDATE	"In@n%deIt
INUNDATED	"In@n%deItId
INUNDATING	"In@n%deItIN, %I"nVn%deItIN
INUNDATION	%In@n"deIS@n
INUNDATIONS	%In@n"deIS@nz
INURE	%In"jUr
INURED	%In"jUrd
INVACARE	"Inv@%kEr
INVADE	%In"veId
INVADED	%In"veId@d, %In"veIdId
INVADER	%In"veIdE`
INVADERS	%In"veIdE`z
INVADES	%In"veIdz
INVADING	%In"veIdIN
INVALID	"Inv@l@d, "Inv@lId, %In"v{l@d
INVALIDATE	%In"v{lI%deIt
INVALIDATED	%In"v{l@%deIt@d, %In"v{lI%deItId
INVALIDATING	%In"v{l@%deItIN
INVALIDATION	%In%v{l@"deIS@n
INVALIDS	"Inv@l@dz
INVALUABLE	%In"v{lj@b@l
INVARIABLE	%In"vEri:@b@l
INVARIABLY	%In"vEri:@bli
INVARIANCE	%In"vEri:@ns
INVARIANT	%In"vEri:@nt
INVASION	%In"veIZ@n
INVASIONS	%In"veIZ@nz
INVASIVE	%In"veIsIv
INVECTIVE	%In"vEktIv
INVENT	%In"vEnt
INVENTED	%In"vEnt@d, %In"vEntId
INVENTING	%In"vEntIN
INVENTION	%In"vEnS@n
INVENTIONS	%In"vEnS@nz
INVENTIVE	%In"vEntIv
INVENTIVENESS	%In"vEntIvn@s
INVENTOR	%In"vEntE`
INVENTORIED	"Inv@n%tOri:d
INVENTORIES	%Inv@n"tOri:z
INVENTORS	%In"vEntE`z
INVENTORY	%Inv@n"tOri
INVENTORY'S	%Inv@n"tOri:z
INVENTS	%In"vEnts
INVERLAT	"InvE`%l{t
INVERNESS	"InvE`%nEs
INVERSE	%In"vE`:s
INVERSELY	%In"vE`:sli
INVERSION	%In"vE`:Z@n
INVERT	%In"vE`:t
INVERTEBRATE	%In"vE`:t@br@t, %In"vE`:t@%breIt
INVERTEBRATES	%In"vE`:t@br@ts, %In"vE`:t@%breIts
INVERTED	%In"vE`:tId
INVESCO	%In"vEskoU
INVESCO'S	%In"vEsoUz
INVEST	%In"vEst
INVESTABLE	%In"vEst@b@l
INVESTCORP	%In"vEstkOrp
INVESTED	%In"vEst@d, %In"vEstId
INVESTIGATE	%In"vEst@%geIt
INVESTIGATED	%In"vEst@%geIt@d, %In"vEst@%geItId
INVESTIGATES	%In"vEst@%geIts
INVESTIGATING	%In"vEst@%geItIN
INVESTIGATION	%In%vEst@"geIS@n
INVESTIGATIONAL	%InvEstI"geIS@n@l
INVESTIGATIONS	%In%vEst@"geIS@nz
INVESTIGATIVE	%In"vEst@%geItIv
INVESTIGATOR	%In"vEst@%geItE`
INVESTIGATOR'S	%In"vEst@%geItE`z
INVESTIGATORS	%In"vEst@%geItE`z
INVESTIGATORS'	%In"vEst@%geItE`z
INVESTIGATORY	%In"vEst@g@%tOri
INVESTIMENTO	%In%vEstI"mEn%toU
INVESTING	%In"vEstIN
INVESTISSEMENTS	%In%vE"sti:zImA:nts
INVESTITURE	%In"vEst@tSE`
INVESTMENT	%In"vEstm@nt, %In"vEsm@nt
INVESTMENT'S	%In"vEstm@nts, %In"vEsm@nts
INVESTMENTS	%In"vEstm@nts, %In"vEsm@nts
INVESTMENTS'	%In"vEstm@nts, %In"vEsm@nts
INVESTNET	%In"vEst%nEt
INVESTOR	%In"vEstE`
INVESTOR'S	%In"vEstE`z
INVESTORS	%In"vEstE`z
INVESTORS'	%In"vEstE`z
INVESTS	%In"vEsts
INVETERATE	%In"vEtE`@t
INVIDIOUS	%In"vIdi:@s
INVIGORATE	%In"vIgE`It
INVIGORATED	%In"vIgE`%eItId
INVIGORATING	%In"vIgE`%eItIN
INVINCIBILITY	%In%vIns@"bIlIti
INVINCIBLE	%In"vIns@b@l
INVIOLABLE	%In"vaI@l@b@l
INVIOLATE	%In"vaI@lIt
INVIRASE	%In"vaI%reIz
INVISIBILITY	%In%vIz@"bIl@ti
INVISIBLE	%In"vIz@b@l
INVISIBLES	%In"vIz@b@lz
INVITATION	%InvI"teIS@n
INVITATIONAL	%Inv@"teIS@n@l
INVITATIONS	%InvI"teIS@nz
INVITE	%In"vaIt
INVITED	%In"vaIt@d, %In"vaItId
INVITEE	%InvaI"ti:
INVITEES	%InvaI"ti:z
INVITES	%In"vaIts
INVITING	%In"vaItIN
INVITRON	"InvItrA:n
INVITRON'S	"InvItrA:nz
INVOCATION	%Inv@"keIS@n
INVOICE	"InvOIs
INVOICES	"InvOIsIz
INVOICING	"In%vOIsIN
INVOKE	%In"voUk
INVOKED	%In"voUkt
INVOKES	%In"voUks
INVOKING	%In"voUkIN
INVOLUNTARILY	%InvoU"lVntE`%Ili, %In%vA:l@n"tE`:@li
INVOLUNTARY	%In"vA:l@n%tEri
INVOLVE	%In"vA:lv
INVOLVED	%In"vA:lvd
INVOLVEMENT	%In"vA:lvm@nt
INVOLVEMENTS	%In"vA:lvm@nts
INVOLVES	%In"vA:lvz
INVOLVING	%In"vA:lvIN
INVULNERABILITY	%In%v@lnE`@"bIlIti
INVULNERABLE	%In"vVlnE`@b@l
INWARD	"InwE`d
INWARDLY	"InwE`dli
INWOOD	"In%wUd
INY	"Ini
INYOKERN	%In"joUkE`n
INZER	"InzE`
IO	"aIoU
IODICE	"aI@%daIs, %aI@"di:seI
IODIDE	"aI@%daId
IODIDE'S	"aI@%daIdz
IODIDES	"aI@%daIdz
IODINE	"aI@%daIn
IOLA	aI"oUl@
IOLANDE	i:oU"lA:ndi
IOLANTHE	i:@"lA:nTeI
IOLE	i:"oUli
IOMEGA	%aIoU"meIg@
ION	"aI%A:n, "aI@n
IONA	aI"oUn@
IONARDE	i:@"nA:rdeI
IONE	aI"oUni
IONIC	%aI"A:nIk
IONICS	%aI"A:nIks
IONICS'S	%aI"A:nIksIz
IONIZATION	%aI@n@"zeIS@n
IONIZE	"aI@%naIz
IONIZER	"aI@%naIzE`
IONIZERS	"aI@%naIzE`z
IONIZING	"aI@%naIzIN
IONOSPHERE	%aI"A:nOs%fi:r
IONOSPHERIC	%aI%A:nOs"fErIk
IONS	"aI%A:nz
IORIO	i:"Ori:%oU
IOS	"i:oUs, "aIoUs
IOSIF	"jOs@f
IOSUE	aI"oUsu:
IOTA	%aI"oUt@
IOTT	"aI@t
IOU	%aI%oU"ju:
IOVINE	i:oU"vi:ni
IOVINO	i:oU"vi:noU
IOWA	"aI@w@, "aIoU@
IOWA'S	"aI@w@z, "aIoU@z
IOWAN	"aI@w@n, "aIoU@n
IOWANS	"aI@w@nz, "aIoU@nz
IP	%aI%pi:, "Ip
IPAD	"aI%p{d
IPADS	"aI%p{dz
IPALCO	i:"p{lkoU
IPALCO'S	i:"p{lkoUz
IPCO	"IpkoU
IPHEGENIA	%If@dZ@"naI@
IPHONE	"aI%foUn
IPHONES	"aI%foUnz
IPOCK	"Ip@k
IPOD	"aI%pOd
IPODS	"aI%pOdz
IPPOLITO	%IpoU"li:toU
IPSCO	"IpskoU
IPSEN	"Ips@n
IPTAY	"IpteI
IQ	"aI"kju:
IQ'S	"aI"kju:z
IQBAL	"Ikb@l
IRA	"aIr@, %aI%A:"reI
IRA'S	"aIr@z
IRAN	%I"rA:n, %aI"r{n
IRAN'S	%I"r{nz, %aI"r{nz
IRANAMOK	%aIr@"nA:mA:k
IRANGATE	%I"rA:n%geIt
IRANI	%I"rA:ni
IRANIAN	%I"rA:ni:@n, aI"reIni:@n
IRANIANS	aI"reIni:@nz, %I"rA:ni:@nz
IRANIANS'	aI"reIni:@nz
IRANSCAM	aI"r{nsk{m
IRAQ	%I"rA:k, %i:"rA:k, %aI"rA:k
IRAQ'S	%I"rA:ks, %i:"rA:ks, %aI"rA:ks
